0	0		-5000	0		5000	0		0	-5000		0	5000		
-9,61199e-014	-8,74148e-014		-5000	-2		5000	2		2	-5000		-2	5000		
-2,83519e-013	-1,88217e-013		-5000	-4		5000	4		4	-5000		-4	5000		
-5,52555e-013	-2,92776e-013		-4999,99	-6		4999,99	6		6	-4999,99		-6	4999,99		
-8,83794e-013	-6,09091e-013		-4999,98	-7,99999		4999,98	7,99999		7,99999	-4999,98		-7,99999	4999,98		
-1,12727e-012	-9,26593e-013		-4999,98	-9,99999		4999,98	9,99999		9,99999	-4999,98		-9,99999	4999,98		
-1,2903e-012	-1,13891e-012		-4999,96	-12		4999,96	12		12	-4999,96		-12	4999,96		
-1,43803e-012	-1,42492e-012		-4999,95	-14		4999,95	14		14	-4999,95		-14	4999,95		
-1,51213e-012	-1,61277e-012		-4999,94	-15,9999		4999,94	15,9999		15,9999	-4999,94		-15,9999	4999,94		
-1,44494e-012	-1,63454e-012		-4999,92	-17,9999		4999,92	17,9999		17,9999	-4999,92		-17,9999	4999,92		
-1,27277e-012	-1,64002e-012		-4999,9	-19,9999		4999,9	19,9999		19,9999	-4999,9		-19,9999	4999,9		
-1,06772e-012	-1,70156e-012		-4999,88	-21,9998		4999,88	21,9998		21,9998	-4999,88		-21,9998	4999,88		
-7,78815e-013	-1,99553e-012		-4999,86	-23,9998		4999,86	23,9998		23,9998	-4999,86		-23,9998	4999,86		
-3,45316e-013	-2,34739e-012		-4999,83	-25,9997		4999,83	25,9997		25,9997	-4999,83		-25,9997	4999,83		
1,89848e-013	-2,57288e-012		-4999,8	-27,9997		4999,8	27,9997		27,9997	-4999,8		-27,9997	4999,8		
6,93641e-013	-2,86592e-012		-4999,78	-29,9996		4999,78	29,9996		29,9996	-4999,78		-29,9996	4999,78		
1,21022e-012	-3,29608e-012		-4999,74	-31,9995		4999,74	31,9995		31,9995	-4999,74		-31,9995	4999,74		
1,89286e-012	-3,99071e-012		-4999,71	-33,9994		4999,71	33,9994		33,9994	-4999,71		-33,9994	4999,71		
2,57041e-012	-4,72732e-012		-4999,68	-35,9993		4999,68	35,9993		35,9993	-4999,68		-35,9993	4999,68		
